CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
TX-22,4822,48,22,TX,-95.6864774085731,29.5179753040068
TX-33,4833,48,33,TX,-97.078175727727,32.7589806234096
TX-06,4806,48,06,TX,-96.6764840293004,32.2305381677342
TX-18,4818,48,18,TX,-95.3817592231754,29.8996772843799
TX-35,4835,48,35,TX,-97.8789673914207,29.918359224356
TX-34,4834,48,34,TX,-97.639433928326,27.6058515325412
TX-13,4813,48,13,TX,-100.617188067667,34.8376965435485
TX-09,4809,48,09,TX,-95.4858605543581,29.6435950746923
TX-10,4810,48,10,TX,-96.5909168119664,29.9711264476768
TX-29,4829,48,29,TX,-95.2616107863531,29.7876607935246
TX-27,4827,48,27,TX,-96.8593017087387,28.8059694590597
TX-11,4811,48,11,TX,-100.08246562409,31.7361063491674
UT-03,4903,49,03,UT,-110.226256910592,38.678484007011
UT-02,4902,49,02,UT,-112.56285125768,38.7571389806273
UT-04,4904,49,04,UT,-111.851075787684,39.8812652315608
UT-01,4901,49,01,UT,-111.327609030294,40.944283138803
VT-00,5000,50,00,VT,-72.6622135426265,44.0747792084406
VA-06,5106,51,06,VA,-79.1905046706539,38.131808728595
VA-05,5105,51,05,VA,-78.7391448471735,37.3476519661961
VA-03,5103,51,03,VA,-76.9402885430787,37.2104304005924
VA-10,5110,51,10,VA,-77.8322332710751,39.0794227684831
VA-04,5104,51,04,VA,-77.3061819431723,36.9761362541416
VA-02,5102,51,02,VA,-75.9261916906456,37.3243884424876
VA-11,5111,51,11,VA,-77.2918743317776,38.8082816171852
VA-01,5101,51,01,VA,-76.9535826390438,37.9078282547549
VA-08,5108,51,08,VA,-77.1406529784911,38.7845546337654
VA-07,5107,51,07,VA,-77.7421078267418,37.967846579115204
VA-09,5109,51,09,VA,-81.316990927516,36.9917271422638
WA-05,5305,53,05,WA,-117.878743373167,47.5895737624489
WA-06,5306,53,06,WA,-123.565419799224,47.586518768449
WA-01,5301,53,01,WA,-121.642010444109,48.353742464076
WA-10,5310,53,10,WA,-122.75434631536,47.0417110123335
WA-09,5309,53,09,WA,-122.264870163738,47.4561771201312
WA-08,5308,53,08,WA,-121.005120978846,47.4246357595994
WA-03,5303,53,03,WA,-122.212797609972,46.2286474484512
WA-07,5307,53,07,WA,-122.385447273265,47.5861185580223
WA-02,5302,53,02,WA,-122.543202004788,48.3609297410306
WA-04,5304,53,04,WA,-119.704670997025,47.2983589486251
WV-03,5403,54,03,WV,-81.1966368558207,37.9941826868668
WV-02,5402,54,02,WV,-80.1831136912664,38.8397377407577
WV-01,5401,54,01,WV,-80.2661498347928,39.3807591427623
WI-03,5503,55,03,WI,-90.9145787275266,44.0669136423943
WI-02,5502,55,02,WI,-89.746905135412,42.9818660999222
WI-06,5506,55,06,WI,-88.7037111943795,43.7961444771544
WI-08,5508,55,08,WI,-88.2796326657957,44.813590197836
WI-04,5504,55,04,WI,-87.9480352842166,43.0600154282594
WI-05,5505,55,05,WI,-88.5313600758381,43.198975775745
WI-01,5501,55,01,WI,-88.3693349720071,42.711573617234
